               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.047997,            0.013924,            0.030266,             0.43904,                 0.9,             0.66198,             0.41773,            0.037235,           0.0083863,            0.020648,           0.0083566,           0.0083566,           0.0083566
                  85,            0.044272,            0.010039,            0.035288,             0.39808,                   1,             0.62834,             0.37538,            0.028003,           0.0075389,            0.020661,           0.0083368,           0.0083368,           0.0083368
                  86,            0.037881,            0.010613,            0.030724,             0.39808,                   1,             0.62834,             0.37538,            0.028003,           0.0075389,            0.020661,            0.008317,            0.008317,            0.008317
                  87,            0.039535,            0.013611,            0.029387,             0.51843,                   1,             0.69345,             0.40423,            0.025262,           0.0073675,            0.020694,           0.0082972,           0.0082972,           0.0082972
                  88,            0.043303,            0.014422,            0.029002,             0.51843,                   1,             0.69345,             0.40423,            0.025262,           0.0073675,            0.020694,           0.0082774,           0.0082774,           0.0082774
                  89,            0.041824,            0.013039,            0.029025,             0.42978,                   1,             0.62976,             0.32179,            0.030992,           0.0078459,            0.020668,           0.0082576,           0.0082576,           0.0082576
                  90,            0.042134,            0.013783,            0.029208,             0.42978,                   1,             0.62976,             0.32179,            0.030992,           0.0078459,            0.020668,           0.0082378,           0.0082378,           0.0082378
                  91,            0.044596,            0.012295,            0.027654,               0.446,             0.90554,             0.63648,             0.48943,            0.025692,           0.0079606,            0.020544,            0.008218,            0.008218,            0.008218
                  92,            0.043176,            0.012976,            0.030362,               0.446,             0.90554,             0.63648,             0.48943,            0.025692,           0.0079606,            0.020544,           0.0081982,           0.0081982,           0.0081982
                  93,            0.043188,            0.012441,            0.028468,             0.52379,             0.98804,             0.70585,             0.30208,            0.024421,           0.0078524,            0.020512,           0.0081784,           0.0081784,           0.0081784
                  94,            0.037411,            0.012893,            0.028757,             0.52379,             0.98804,             0.70585,             0.30208,            0.024421,           0.0078524,            0.020512,           0.0081586,           0.0081586,           0.0081586
                  95,            0.039316,            0.013373,            0.029675,             0.57587,                 0.9,             0.70259,             0.54354,            0.025527,           0.0078251,            0.020512,           0.0081388,           0.0081388,           0.0081388
                  96,            0.041448,            0.012707,             0.02845,             0.57587,                 0.9,             0.70259,             0.54354,            0.025527,           0.0078251,            0.020512,            0.008119,            0.008119,            0.008119
                  97,            0.042827,            0.013134,            0.029366,             0.50817,                0.95,               0.694,             0.34799,            0.024377,           0.0076553,            0.020376,           0.0080992,           0.0080992,           0.0080992
                  98,            0.040136,            0.010935,            0.027385,             0.50817,                0.95,               0.694,             0.34799,            0.024377,           0.0076553,            0.020376,           0.0080794,           0.0080794,           0.0080794
                  99,            0.035134,             0.01061,            0.031888,             0.55458,                 0.9,             0.63098,             0.28622,            0.030173,           0.0074803,            0.020395,           0.0080596,           0.0080596,           0.0080596
                 100,            0.046951,           0.0095328,             0.03012,             0.55458,                 0.9,             0.63098,             0.28622,            0.030173,           0.0074803,            0.020395,           0.0080398,           0.0080398,           0.0080398
                 101,            0.040605,            0.014016,            0.028881,             0.53295,                0.95,             0.71894,              0.5726,            0.015199,           0.0068946,            0.020129,             0.00802,             0.00802,             0.00802
                 102,            0.035791,            0.015391,            0.029016,             0.53295,                0.95,             0.71894,              0.5726,            0.015199,           0.0068946,            0.020129,           0.0080002,           0.0080002,           0.0080002
